feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_01004	2	39.0	30.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; m__ref_mOTU_v31_01004
meta_mOTU_v31_13218	2	33.0	31.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; m__meta_mOTU_v31_13218
ref_mOTU_v31_04336	2	24.0	23.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_04336
ext_mOTU_v31_18146	2	21.0	11.0	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; m__ext_mOTU_v31_18146
meta_mOTU_v31_12768	2	19.0	18.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12768
ref_mOTU_v31_03595	2	14.0	12.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella; m__ref_mOTU_v31_03595
meta_mOTU_v31_12266	2	11.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella; m__meta_mOTU_v31_12266
ref_mOTU_v31_03928	2	11.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ref_mOTU_v31_03928
meta_mOTU_v31_12610	2	10.0	9.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; m__meta_mOTU_v31_12610
ref_mOTU_v31_00072	2	8.0	5.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Leclercia; m__ref_mOTU_v31_00072
ext_mOTU_v31_26824	2	7.0	6.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ext_mOTU_v31_26824
ref_mOTU_v31_03693	2	7.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; m__ref_mOTU_v31_03693
ref_mOTU_v31_06695	2	7.0	6.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_06695
meta_mOTU_v31_12331	2	6.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_12331
ref_mOTU_v31_01683	2	6.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; m__ref_mOTU_v31_01683
ref_mOTU_v31_03069	2	6.0	5.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_03069
ref_mOTU_v31_03474	2	6.0	4.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_03474
meta_mOTU_v31_12301	2	5.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12301
meta_mOTU_v31_13295	2	5.0	4.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaeromassilibacillus; m__meta_mOTU_v31_13295
ref_mOTU_v31_03647	2	5.0	4.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; m__ref_mOTU_v31_03647
ext_mOTU_v31_17824	2	4.0	2.0	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Finegoldia; m__ext_mOTU_v31_17824
meta_mOTU_v31_12227	2	4.0	3.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__meta_mOTU_v31_12227
