Feature ID	Taxon
meta_mOTU_v31_13392	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13392
meta_mOTU_v31_13572	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13572
meta_mOTU_v31_13819	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13819
meta_mOTU_v31_13829	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__; g__; m__meta_mOTU_v31_13829
meta_mOTU_v31_13858	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_13858
meta_mOTU_v31_13874	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__; m__meta_mOTU_v31_13874
meta_mOTU_v31_13923	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13923
meta_mOTU_v31_13962	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; m__meta_mOTU_v31_13962
meta_mOTU_v31_14015	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14015
meta_mOTU_v31_14033	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_14033
meta_mOTU_v31_14048	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__meta_mOTU_v31_14048
meta_mOTU_v31_14207	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_14207
meta_mOTU_v31_14346	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14346
